Visa_Type,Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated
B1,CHENNAI,Regular,"23 Sep, 25",1,1,2025-08-14 01:32:12
B1,CHENNAI VAC,Regular,"12 May, 26",1,1,2025-08-14 06:31:36
B1,HYDERABAD,Regular,"02 Sep, 25",1,1,2025-08-13 17:00:26
B1,HYDERABAD VAC,Regular,"01 Jun, 26",11,1,2025-08-14 06:35:08
B1,KOLKATA,Regular,"03 Sep, 25",1,1,2025-08-12 14:32:03
B1,KOLKATA VAC,Regular,"23 Jun, 26",15,7,2025-08-14 06:18:28
B1,MUMBAI,Regular,"05 Sep, 25",1,0,2025-08-14 05:31:36
B1,MUMBAI VAC,Regular,"25 Jun, 26",1,1,2025-08-14 06:31:33
B1,NEW DELHI,Regular,"25 Aug, 25",4,1,2025-08-14 01:02:16
B1,NEW DELHI VAC,Dropbox,"04 Aug, 25",92,236,2025-07-26 07:28:18
B1,NEW DELHI VAC,Regular,"25 Aug, 25",27,6,2025-08-14 06:35:13
B1/B2,CHENNAI,Regular,"21 Aug, 25",1,2,2025-08-14 06:23:33
B1/B2,CHENNAI VAC,Regular,"12 May, 26",1,1,2025-08-14 06:34:00
B1/B2,HYDERABAD,Regular,"30 Sep, 25",1,1,2025-08-14 05:31:04
B1/B2,HYDERABAD VAC,Regular,"02 Jun, 26",10,2,2025-08-14 06:35:17
B1/B2,KOLKATA,Regular,"21 Aug, 25",3,1,2025-08-14 04:58:39
B1/B2,KOLKATA VAC,Regular,"02 Jun, 26",27,0,2025-08-14 06:35:22
B1/B2,MUMBAI,Regular,"22 Aug, 25",1,1,2025-08-14 05:37:45
B1/B2,MUMBAI VAC,Dropbox,"18 Jun, 26",1,1,2025-08-11 18:41:06
B1/B2,MUMBAI VAC,Regular,"25 Jun, 26",1,1,2025-08-14 06:32:08
B1/B2,NEW DELHI,Regular,"21 Aug, 25",3,2,2025-08-14 05:58:24
B1/B2,NEW DELHI VAC,Dropbox,"25 Aug, 25",55,234,2025-08-11 18:41:12
B1/B2,NEW DELHI VAC,Emergency,"01 Oct, 25",49,188,2025-07-17 10:25:09
B1/B2,NEW DELHI VAC,Regular,"25 Aug, 25",15,3,2025-08-14 06:35:21
B2,CHENNAI,Regular,"21 Aug, 25",1,2,2025-08-14 04:37:04
B2,CHENNAI VAC,Regular,"12 May, 26",1,1,2025-08-14 06:31:58
B2,HYDERABAD,Regular,"02 Sep, 25",1,0,2025-08-14 04:32:03
B2,HYDERABAD VAC,Regular,"29 Jul, 26",2,162,2025-08-14 06:35:07
B2,KOLKATA,Regular,"26 Aug, 25",1,3,2025-08-13 06:09:52
B2,KOLKATA VAC,Regular,"10 Aug, 26",9,4,2025-08-14 06:33:42
B2,MUMBAI,Regular,"05 Sep, 25",1,2,2025-08-14 05:30:48
B2,MUMBAI VAC,Dropbox,"04 Jun, 26",1,1,2025-08-14 02:38:36
B2,MUMBAI VAC,Regular,"25 Jun, 26",1,1,2025-08-14 06:31:13
B2,NEW DELHI,Regular,"21 Aug, 25",4,11,2025-08-14 04:37:12
B2,NEW DELHI VAC,Dropbox,"25 Aug, 25",40,49,2025-08-14 02:38:39
B2,NEW DELHI VAC,Regular,"12 Aug, 26",13,185,2025-08-14 06:34:54
SB1-Returning Resident,MUMBAI IV,Regular,"18 Aug, 25",6,2,2025-08-12 11:03:41
