Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI,Regular,"21 Aug, 25",1,2,2025-08-14 06:23:33,5h ago
CHENNAI VAC,Regular,"12 May, 26",1,1,2025-08-14 06:34:00,5h ago
HYDERABAD,Regular,"30 Sep, 25",1,1,2025-08-14 05:31:04,6h ago
HYDERABAD VAC,Regular,"02 Jun, 26",10,2,2025-08-14 06:35:17,5h ago
KOLKATA,Regular,"21 Aug, 25",3,1,2025-08-14 04:58:39,7h ago
KOLKATA VAC,Regular,"02 Jun, 26",27,0,2025-08-14 06:35:22,5h ago
MUMBAI,Regular,"22 Aug, 25",1,1,2025-08-14 05:37:45,6h ago
MUMBAI VAC,Dropbox,"18 Jun, 26",1,1,2025-08-11 18:41:06,2d ago
MUMBAI VAC,Regular,"25 Jun, 26",1,1,2025-08-14 06:32:08,5h ago
NEW DELHI,Regular,"21 Aug, 25",3,2,2025-08-14 05:58:24,6h ago
NEW DELHI VAC,Dropbox,"25 Aug, 25",55,234,2025-08-11 18:41:12,2d ago
NEW DELHI VAC,Emergency,"01 Oct, 25",49,188,2025-07-17 10:25:09,28d ago
NEW DELHI VAC,Regular,"25 Aug, 25",15,3,2025-08-14 06:35:21,5h ago
