Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI,Regular,"21 Aug, 25",1,2,2025-08-14 04:37:04,7h ago
CHENNAI VAC,Regular,"12 May, 26",1,1,2025-08-14 06:31:58,5h ago
HYDERABAD,Regular,"02 Sep, 25",1,0,2025-08-14 04:32:03,7h ago
HYDERABAD VAC,Regular,"29 Jul, 26",2,162,2025-08-14 06:35:07,5h ago
KOLKATA,Regular,"26 Aug, 25",1,3,2025-08-13 06:09:52,1d ago
KOLKATA VAC,Regular,"10 Aug, 26",9,4,2025-08-14 06:33:42,5h ago
MUMBAI,Regular,"05 Sep, 25",1,2,2025-08-14 05:30:48,6h ago
MUMBAI VAC,Dropbox,"04 Jun, 26",1,1,2025-08-14 02:38:36,9h ago
MUMBAI VAC,Regular,"25 Jun, 26",1,1,2025-08-14 06:31:13,5h ago
NEW DELHI,Regular,"21 Aug, 25",4,11,2025-08-14 04:37:12,7h ago
NEW DELHI VAC,Dropbox,"25 Aug, 25",40,49,2025-08-14 02:38:39,9h ago
NEW DELHI VAC,Regular,"12 Aug, 26",13,185,2025-08-14 06:34:54,5h ago
