Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI,Regular,"21 Aug, 25",1,1,2025-08-14 05:31:49,6h ago
CHENNAI VAC,Dropbox,"14 Aug, 25",1,1,2025-07-25 10:36:04,20d ago
CHENNAI VAC,Regular,"21 Aug, 25",2,0,2025-08-14 04:41:59,7h ago
HYDERABAD,Regular,"21 Aug, 25",1,1,2025-08-14 05:19:04,6h ago
HYDERABAD VAC,Regular,"19 Aug, 25",1,1,2025-08-14 05:33:49,6h ago
KOLKATA VAC,Regular,"18 Aug, 25",3,7,2025-08-04 10:33:17,10d ago
MUMBAI,Regular,"25 Aug, 25",1,0,2025-08-12 07:03:07,2d ago
MUMBAI VAC,Regular,"19 Aug, 25",1,1,2025-08-14 05:33:49,6h ago
NEW DELHI,Regular,"29 Aug, 25",1,0,2025-08-12 07:26:57,2d ago
NEW DELHI VAC,Regular,"17 Aug, 25",1,2,2025-08-14 05:33:45,6h ago
