Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
CHENNAI,Regular,"06 Oct, 25",15,110,2025-08-13 06:45:40,1d ago
CHENNAI,Regular,"06 Oct, 25",15,98,2025-08-13 21:50:56,14h ago
CHENNAI VAC,Dropbox,"25 Jul, 25",1,4,2025-07-24 00:11:46,21d ago
CHENNAI VAC,Dropbox,"31 Jul, 25",1,3,2025-07-26 08:01:23,19d ago
HYDERABAD,Regular,"09 Oct, 25",5,180,2025-08-13 06:45:44,1d ago
HYDERABAD,Regular,"23 Oct, 25",5,30,2025-08-10 19:05:39,3d ago
KOLKATA VAC,Regular,"28 Jul, 25",1,1,2025-07-23 00:32:14,22d ago
MUMBAI VAC,Regular,"20 Aug, 25",24,3,2025-08-13 06:44:33,1d ago
MUMBAI VAC,Regular,"19 Aug, 25",22,25,2025-08-13 21:49:39,14h ago
NEW DELHI VAC,Regular,"28 Oct, 25",1,4,2025-08-11 07:09:47,3d ago
NEW DELHI VAC,Regular,"27 Oct, 25",2,2,2025-08-10 14:09:16,3d ago
