Base_Visa_Type,Full_Visa_Type,Location,Subtype,Earliest_Date,Number_of_Dates,Number_of_Appointments,Last_Updated,Relative_Time
B1,B1 (Regular),CHENNAI,Regular,"23 Sep, 25",1,1,2025-08-14 01:32:12,10h ago
B1,B1 (Regular),CHENNAI VAC,Regular,"12 May, 26",1,1,2025-08-14 06:31:36,5h ago
B1,B1 (Regular),HYDERABAD,Regular,"02 Sep, 25",1,1,2025-08-13 17:00:26,19h ago
B1,B1 (Regular),HYDERABAD VAC,Regular,"01 Jun, 26",11,1,2025-08-14 06:35:08,5h ago
B1,B1 (Regular),KOLKATA,Regular,"03 Sep, 25",1,1,2025-08-12 14:32:03,1d ago
B1,B1 (Regular),KOLKATA VAC,Regular,"23 Jun, 26",15,7,2025-08-14 06:18:28,5h ago
B1,B1 (Regular),MUMBAI,Regular,"05 Sep, 25",1,0,2025-08-14 05:31:36,6h ago
B1,B1 (Regular),MUMBAI VAC,Regular,"25 Jun, 26",1,1,2025-08-14 06:31:33,5h ago
B1,B1 (Regular),NEW DELHI,Regular,"25 Aug, 25",4,1,2025-08-14 01:02:16,11h ago
B1,B1 (Dropbox),NEW DELHI VAC,Dropbox,"04 Aug, 25",92,236,2025-07-26 07:28:18,19d ago
B1,B1 (Regular),NEW DELHI VAC,Regular,"25 Aug, 25",27,6,2025-08-14 06:35:13,5h ago
B1/B2,B1/B2 (Regular),CHENNAI,Regular,"21 Aug, 25",1,2,2025-08-14 06:23:33,5h ago
B1/B2,B1/B2 (Regular),CHENNAI VAC,Regular,"12 May, 26",1,1,2025-08-14 06:34:00,5h ago
B1/B2,B1/B2 (Regular),HYDERABAD,Regular,"30 Sep, 25",1,1,2025-08-14 05:31:04,6h ago
B1/B2,B1/B2 (Regular),HYDERABAD VAC,Regular,"02 Jun, 26",10,2,2025-08-14 06:35:17,5h ago
B1/B2,B1/B2 (Regular),KOLKATA,Regular,"21 Aug, 25",3,1,2025-08-14 04:58:39,7h ago
B1/B2,B1/B2 (Regular),KOLKATA VAC,Regular,"02 Jun, 26",27,0,2025-08-14 06:35:22,5h ago
B1/B2,B1/B2 (Regular),MUMBAI,Regular,"22 Aug, 25",1,1,2025-08-14 05:37:45,6h ago
B1/B2,B1/B2 (Dropbox),MUMBAI VAC,Dropbox,"18 Jun, 26",1,1,2025-08-11 18:41:06,2d ago
B1/B2,B1/B2 (Regular),MUMBAI VAC,Regular,"25 Jun, 26",1,1,2025-08-14 06:32:08,5h ago
B1/B2,B1/B2 (Regular),NEW DELHI,Regular,"21 Aug, 25",3,2,2025-08-14 05:58:24,6h ago
B1/B2,B1/B2 (Dropbox),NEW DELHI VAC,Dropbox,"25 Aug, 25",55,234,2025-08-11 18:41:12,2d ago
B1/B2,B1/B2 (Emergency),NEW DELHI VAC,Emergency,"01 Oct, 25",49,188,2025-07-17 10:25:09,28d ago
B1/B2,B1/B2 (Regular),NEW DELHI VAC,Regular,"25 Aug, 25",15,3,2025-08-14 06:35:21,5h ago
B2,B2 (Regular),CHENNAI,Regular,"21 Aug, 25",1,2,2025-08-14 04:37:04,7h ago
B2,B2 (Regular),CHENNAI VAC,Regular,"12 May, 26",1,1,2025-08-14 06:31:58,5h ago
B2,B2 (Regular),HYDERABAD,Regular,"02 Sep, 25",1,0,2025-08-14 04:32:03,7h ago
B2,B2 (Regular),HYDERABAD VAC,Regular,"29 Jul, 26",2,162,2025-08-14 06:35:07,5h ago
B2,B2 (Regular),KOLKATA,Regular,"26 Aug, 25",1,3,2025-08-13 06:09:52,1d ago
B2,B2 (Regular),KOLKATA VAC,Regular,"10 Aug, 26",9,4,2025-08-14 06:33:42,5h ago
B2,B2 (Regular),MUMBAI,Regular,"05 Sep, 25",1,2,2025-08-14 05:30:48,6h ago
B2,B2 (Dropbox),MUMBAI VAC,Dropbox,"04 Jun, 26",1,1,2025-08-14 02:38:36,9h ago
B2,B2 (Regular),MUMBAI VAC,Regular,"25 Jun, 26",1,1,2025-08-14 06:31:13,5h ago
B2,B2 (Regular),NEW DELHI,Regular,"21 Aug, 25",4,11,2025-08-14 04:37:12,7h ago
B2,B2 (Dropbox),NEW DELHI VAC,Dropbox,"25 Aug, 25",40,49,2025-08-14 02:38:39,9h ago
B2,B2 (Regular),NEW DELHI VAC,Regular,"12 Aug, 26",13,185,2025-08-14 06:34:54,5h ago
F-1,F-1 (Regular),CHENNAI,Regular,"21 Aug, 25",1,1,2025-08-14 05:31:49,6h ago
F-1,F-1 (Dropbox),CHENNAI VAC,Dropbox,"14 Aug, 25",1,1,2025-07-25 10:36:04,20d ago
F-1,F-1 (Regular),CHENNAI VAC,Regular,"21 Aug, 25",2,0,2025-08-14 04:41:59,7h ago
F-1,F-1 (Regular),HYDERABAD,Regular,"21 Aug, 25",1,1,2025-08-14 05:19:04,6h ago
F-1,F-1 (Regular),HYDERABAD VAC,Regular,"19 Aug, 25",1,1,2025-08-14 05:33:49,6h ago
F-1,F-1 (Regular),KOLKATA VAC,Regular,"18 Aug, 25",3,7,2025-08-04 10:33:17,10d ago
F-1,F-1 (Regular),MUMBAI,Regular,"25 Aug, 25",1,0,2025-08-12 07:03:07,2d ago
F-1,F-1 (Regular),MUMBAI VAC,Regular,"19 Aug, 25",1,1,2025-08-14 05:33:49,6h ago
F-1,F-1 (Regular),NEW DELHI,Regular,"29 Aug, 25",1,0,2025-08-12 07:26:57,2d ago
F-1,F-1 (Regular),NEW DELHI VAC,Regular,"17 Aug, 25",1,2,2025-08-14 05:33:45,6h ago
